Date,Australia,Brazil,Canada,China,France,Germany,Hong Kong,India,Israel,Italy,Japan,Korea,Mexico,Netherlands,Poland,Russia,Singapore,South Africa,Spain,Sweden,Switzerland,Taiwan,Turkey,United Kingdom,USA
31/12/1987,17.57,0,16.61,0,0,14.13,21.18,0,0,0,57.08,0,0,10.72,0,0,23.12,0,0,17.35,14.56,0,0,16.93,16
29/01/1988,16.72,0,15.65,0,0,13.17,21.56,0,0,0,62.2,0,0,11.12,0,0,24.82,0,0,19.49,14.7,0,0,17.75,16.39
29/02/1988,16.33,0,16.27,0,0,15.45,21.85,0,0,0,67.25,0,0,11.66,0,0,24.25,0,0,19.54,15.79,0,0,17.44,17
31/03/1988,18.08,0,16.5,0,0,14.86,22.38,0,0,0,70.16,0,0,11.53,0,0,24.57,0,0,19.64,14.59,0,0,16.7,16.43
29/04/1988,18.81,0,16.67,0,0,14.86,21.97,0,0,0,70.74,0,0,11.84,0,0,25.73,0,0,20.04,14.81,0,0,17.02,16.32
31/05/1988,20.23,0,16.49,0,0,14.78,21.07,0,0,0,67.08,0,0,11.46,0,0,26.65,0,0,20.49,14.74,0,0,16.63,16.31
30/06/1988,19.61,0,17.46,0,0,15.71,22.62,0,0,0,68.69,0,0,12.18,0,0,29.67,0,0,20.25,15.71,0,0,17.03,17.09
29/07/1988,20.29,0,16.72,0,0,15.89,22.71,0,0,0,70.31,0,0,12.88,0,0,30.44,0,0,20.98,15.91,0,0,16.8,16.62
31/08/1988,19.64,0,16.47,0,0,16.08,19.97,0,0,0,66.82,0,0,12.2,0,0,27.56,0,0,20.33,15.9,0,0,15.92,15.98
30/09/1988,18.71,0,16.44,0,0,17.32,19.64,0,0,0,67.65,0,0,12.35,0,0,27.47,0,0,20.81,16.44,0,0,16.36,16.62
31/10/1988,18.93,0,16.88,0,0,18.12,20.99,0,0,0,68.52,0,0,12.48,0,0,27.98,0,0,21.58,16.99,0,0,16.67,16.9
30/11/1988,17.01,0,15.86,0,0,17.69,21.39,0,0,0,72.07,0,0,12.18,0,0,27.07,0,0,21.19,16.98,0,0,15.86,16.51
30/12/1988,17.2,0,16.28,0,0,18.22,21.31,0,0,0,73.68,0,0,12.71,0,0,28.17,0,0,22.53,17.55,0,0,15.86,16.71
31/01/1989,17.91,0,17.12,0,0,18.3,24.15,0,0,0,75.77,0,0,13.49,0,0,30.31,0,26.3,24.08,18.07,0,0,17.98,17.65
28/02/1989,16.49,0,16.67,0,0,17.73,23.42,0,0,0,75.49,0,0,13.05,0,0,30.2,0,24.48,23.87,17.73,0,0,17.36,17.04
31/03/1989,15.82,0,16.57,0,0,17.71,22.23,0,0,0,76.35,0,0,13.61,0,0,30.69,0,25.39,24.21,17.69,0,0,17.54,17.36
28/04/1989,16.56,0,16.86,0,0,18.54,22.49,0,0,0,75.71,0,0,14.03,0,0,31.81,0,27.05,23.99,18.33,0,0,17.61,18.03
31/05/1989,16.99,0,17.65,0,0,18.35,19.55,0,0,0,75.19,0,0,14.08,0,0,32.43,0,27.58,24.22,17.53,0,0,17.38,18.56
30/06/1989,16.96,0,17.83,0,0,19.41,15.91,0,0,0,70.24,0,0,14.31,0,0,32.66,0,26.64,25.09,19.54,0,0,17.36,18.42
31/07/1989,18.24,0,18.64,0,0,20,17.85,0,0,0,74.78,0,0,14.95,0,0,34.3,0,25.88,26.71,21.17,0,0,18.38,19.69
31/08/1989,19.46,0,19.23,0,0,21,16.56,0,0,0,73.28,0,0,15.14,0,0,33.09,0,26.38,27.65,22.22,0,0,18.87,19.92
29/09/1989,18.59,0,18.97,0,0,20.97,18.27,0,0,0,74.69,0,0,14.86,0,0,33.44,0,27.09,25.82,21.32,0,0,18.09,19.87
31/10/1989,17.8,0,18.79,0,0,19.65,18.03,0,0,0,74.48,0,0,14.11,0,0,31.78,0,25.02,23.94,19.93,0,0,16.65,19.39
30/11/1989,16.97,0,18.48,0,0,21.06,18,0,0,0,77.25,0,0,14.62,0,0,32.94,0,23.99,23.04,20.86,0,0,17.48,19.59
29/12/1989,17.73,0,18.88,0,0,23.47,17.95,0,0,0,77.5,0,0,15.11,0,0,34.66,0,23.04,24.91,20.74,0,0,18.61,19.94
31/01/1990,18,0,17.34,0,0,24.07,17.35,0,0,0,72.02,0,0,14.35,0,0,34.55,0,21.54,24.27,20.02,0,0,17.75,18.45
28/02/1990,16.63,0,17.35,0,0,23.69,18.42,0,0,0,66.33,0,0,13.77,0,0,35.23,0,20.24,22.12,19.77,0,0,17.12,18.52
